IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.201.8,2082,2082,false,SIN,Asia Pacific,Singapore,32,14.04
8.222.252.123,8080,8080,false,SIN,Asia Pacific,Singapore,10,14.03
47.236.175.189,8443,8443,true,SIN,Asia Pacific,Singapore,122,14.03
8.222.208.83,2086,2086,false,SIN,Asia Pacific,Singapore,5,14.03
8.222.210.182,80,80,false,SIN,Asia Pacific,Singapore,20,14.03
47.237.22.45,2095,2095,false,SIN,Asia Pacific,Singapore,17,14.02
8.222.130.156,2095,2095,false,SIN,Asia Pacific,Singapore,20,14.02
47.236.106.234,2087,2087,true,SIN,Asia Pacific,Singapore,129,14.01
47.245.126.151,8443,8443,true,SIN,Asia Pacific,Singapore,132,14.00
47.236.165.25,8080,8080,false,SIN,Asia Pacific,Singapore,119,14.00
8.219.112.75,2096,2096,true,SIN,Asia Pacific,Singapore,162,14.00
8.222.174.108,2087,2087,true,SIN,Asia Pacific,Singapore,101,14.00
47.236.116.182,2086,2086,false,SIN,Asia Pacific,Singapore,5,13.99
8.219.201.245,2087,2087,true,SIN,Asia Pacific,Singapore,126,13.99
47.242.234.127,8880,8880,false,HKG,Asia Pacific,Hong Kong,40,13.99
8.218.119.115,2053,2053,true,HKG,Asia Pacific,Hong Kong,435,13.99
47.237.14.233,443,443,true,SIN,Asia Pacific,Singapore,68,13.98
8.222.226.15,80,80,false,SIN,Asia Pacific,Singapore,7,13.97
8.222.213.221,443,443,true,SIN,Asia Pacific,Singapore,114,13.97
47.236.204.110,2087,2087,true,SIN,Asia Pacific,Singapore,120,13.96
8.222.150.197,2083,2083,true,SIN,Asia Pacific,Singapore,66,13.96
8.219.170.58,8080,8080,false,SIN,Asia Pacific,Singapore,5,13.96
8.222.131.102,2087,2087,true,SIN,Asia Pacific,Singapore,59,13.96
8.222.162.45,2052,2052,false,SIN,Asia Pacific,Singapore,6,13.94
8.219.170.58,8443,8443,true,SIN,Asia Pacific,Singapore,248,13.94
8.219.218.21,8443,8443,true,SIN,Asia Pacific,Singapore,426,13.93
47.245.93.74,2052,2052,false,SIN,Asia Pacific,Singapore,14,13.93
47.245.80.142,8080,8080,false,SIN,Asia Pacific,Singapore,19,13.93
8.222.152.165,2083,2083,true,SIN,Asia Pacific,Singapore,111,13.92
8.222.221.90,80,80,false,SIN,Asia Pacific,Singapore,13,13.92
