IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.254.91,2083,2083,true,SIN,Asia Pacific,Singapore,112,13.92
47.245.118.197,8880,8880,false,SIN,Asia Pacific,Singapore,30,13.91
8.218.243.95,80,80,false,HKG,Asia Pacific,Hong Kong,42,13.91
47.236.195.137,2053,2053,true,SIN,Asia Pacific,Singapore,94,13.90
8.219.210.226,80,80,false,SIN,Asia Pacific,Singapore,19,13.90
8.222.222.64,8443,8443,true,SIN,Asia Pacific,Singapore,83,13.89
47.236.75.113,8443,8443,true,SIN,Asia Pacific,Singapore,75,13.89
47.236.132.125,8080,8080,false,SIN,Asia Pacific,Singapore,9,13.89
8.219.6.157,8880,8880,false,SIN,Asia Pacific,Singapore,11,13.89
8.222.193.208,2083,2083,true,SIN,Asia Pacific,Singapore,108,13.88
47.236.172.71,2096,2096,true,SIN,Asia Pacific,Singapore,100,13.87
8.222.147.203,8443,8443,true,SIN,Asia Pacific,Singapore,72,13.87
47.236.116.208,2083,2083,true,SIN,Asia Pacific,Singapore,84,13.86
8.219.77.91,2095,2095,false,SIN,Asia Pacific,Singapore,7,13.86
47.236.145.180,2083,2083,true,SIN,Asia Pacific,Singapore,123,13.84
8.222.226.15,2086,2086,false,SIN,Asia Pacific,Singapore,3,13.84
8.222.141.240,2087,2087,true,SIN,Asia Pacific,Singapore,55,13.84
8.222.154.50,2082,2082,false,SIN,Asia Pacific,Singapore,5,13.84
8.222.238.141,2086,2086,false,SIN,Asia Pacific,Singapore,20,13.84
8.222.255.15,8880,8880,false,SIN,Asia Pacific,Singapore,3,13.84
8.222.236.229,443,443,true,SIN,Asia Pacific,Singapore,122,13.84
47.236.172.41,80,80,false,SIN,Asia Pacific,Singapore,16,13.83
8.222.145.110,2095,2095,false,SIN,Asia Pacific,Singapore,2,13.83
8.222.145.164,2095,2095,false,SIN,Asia Pacific,Singapore,20,13.83
8.222.212.172,2096,2096,true,SIN,Asia Pacific,Singapore,40,13.82
8.219.228.186,2096,2096,true,SIN,Asia Pacific,Singapore,153,13.82
8.219.6.187,2053,2053,true,SIN,Asia Pacific,Singapore,47,13.82
47.245.100.33,443,443,true,SIN,Asia Pacific,Singapore,118,13.81
8.219.238.145,2052,2052,false,SIN,Asia Pacific,Singapore,13,13.80
8.222.169.182,2087,2087,true,SIN,Asia Pacific,Singapore,119,13.80
47.245.90.176,2096,2096,true,SIN,Asia Pacific,Singapore,102,13.80
8.219.179.34,2082,2082,false,SIN,Asia Pacific,Singapore,52,13.79
8.219.1.92,8443,8443,true,SIN,Asia Pacific,Singapore,33,13.79
8.222.202.163,8080,8080,false,SIN,Asia Pacific,Singapore,21,13.79
8.219.53.142,8080,8080,false,SIN,Asia Pacific,Singapore,26,13.79
8.219.240.141,8443,8443,true,SIN,Asia Pacific,Singapore,195,13.79
8.219.248.47,2087,2087,true,SIN,Asia Pacific,Singapore,22,13.77
8.219.145.245,2086,2086,false,SIN,Asia Pacific,Singapore,9,13.77
8.222.137.192,8880,8880,false,SIN,Asia Pacific,Singapore,5,13.77
8.222.137.192,2095,2095,false,SIN,Asia Pacific,Singapore,6,13.76
47.236.189.173,8080,8080,false,SIN,Asia Pacific,Singapore,7,13.76
47.245.118.70,2087,2087,true,SIN,Asia Pacific,Singapore,129,13.76
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,11,13.76
8.222.144.117,2086,2086,false,SIN,Asia Pacific,Singapore,9,13.76
8.219.213.112,2082,2082,false,SIN,Asia Pacific,Singapore,17,13.75
8.222.208.83,443,443,true,SIN,Asia Pacific,Singapore,60,13.75
8.222.152.71,8080,8080,false,SIN,Asia Pacific,Singapore,17,13.75
8.219.250.239,2082,2082,false,SIN,Asia Pacific,Singapore,38,13.75
47.236.114.23,80,80,false,SIN,Asia Pacific,Singapore,6,13.75
8.222.129.245,2095,2095,false,SIN,Asia Pacific,Singapore,16,13.74
47.236.125.4,8443,8443,true,SIN,Asia Pacific,Singapore,103,13.74
8.210.151.69,2087,2087,true,HKG,Asia Pacific,Hong Kong,68,13.74
47.236.116.26,8080,8080,false,SIN,Asia Pacific,Singapore,20,13.72
47.236.187.144,2082,2082,false,SIN,Asia Pacific,Singapore,11,13.72
8.222.160.176,2086,2086,false,SIN,Asia Pacific,Singapore,21,13.72
47.236.169.15,2087,2087,true,SIN,Asia Pacific,Singapore,95,13.72
8.217.91.121,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,13.72
8.222.229.102,8443,8443,true,SIN,Asia Pacific,Singapore,62,13.71
8.222.133.247,2082,2082,false,SIN,Asia Pacific,Singapore,9,13.71
47.236.224.66,2053,2053,true,SIN,Asia Pacific,Singapore,70,13.70
8.219.84.102,8080,8080,false,SIN,Asia Pacific,Singapore,25,13.70
8.219.43.243,8443,8443,true,SIN,Asia Pacific,Singapore,97,13.69
8.219.63.193,2082,2082,false,SIN,Asia Pacific,Singapore,12,13.69
8.219.4.122,2052,2052,false,SIN,Asia Pacific,Singapore,3,13.68
47.236.117.48,2087,2087,true,SIN,Asia Pacific,Singapore,117,13.68
47.236.193.5,2096,2096,true,SIN,Asia Pacific,Singapore,156,13.68
47.236.171.112,2053,2053,true,SIN,Asia Pacific,Singapore,136,13.68
47.236.166.84,2086,2086,false,SIN,Asia Pacific,Singapore,5,13.68
8.222.174.108,8443,8443,true,SIN,Asia Pacific,Singapore,118,13.67
47.236.193.208,2083,2083,true,SIN,Asia Pacific,Singapore,80,13.67
47.236.82.218,8443,8443,true,SIN,Asia Pacific,Singapore,83,13.67
8.222.214.231,2052,2052,false,SIN,Asia Pacific,Singapore,8,13.67
8.219.4.122,2095,2095,false,SIN,Asia Pacific,Singapore,16,13.66
8.222.164.44,2083,2083,true,SIN,Asia Pacific,Singapore,100,13.66
8.222.129.32,2095,2095,false,SIN,Asia Pacific,Singapore,5,13.66
47.245.107.174,2052,2052,false,SIN,Asia Pacific,Singapore,30,13.65
8.219.60.68,8443,8443,true,SIN,Asia Pacific,Singapore,9,13.65
8.222.159.252,8880,8880,false,SIN,Asia Pacific,Singapore,10,13.65
47.237.23.162,2083,2083,true,SIN,Asia Pacific,Singapore,93,13.65
47.236.78.57,2096,2096,true,SIN,Asia Pacific,Singapore,72,13.64
47.236.168.17,8080,8080,false,SIN,Asia Pacific,Singapore,28,13.64
8.222.190.225,2052,2052,false,SIN,Asia Pacific,Singapore,2,13.63
8.219.12.152,2086,2086,false,SIN,Asia Pacific,Singapore,2,13.63
8.222.170.152,2052,2052,false,NRT,Asia Pacific,Tokyo,77,13.62
8.219.13.143,8880,8880,false,SIN,Asia Pacific,Singapore,10,13.62
47.91.16.214,2087,2087,true,NRT,Asia Pacific,Tokyo,71,13.62
8.222.155.242,2053,2053,true,SIN,Asia Pacific,Singapore,94,13.62
47.236.121.23,8443,8443,true,SIN,Asia Pacific,Singapore,170,13.62
8.222.211.16,2095,2095,false,SIN,Asia Pacific,Singapore,5,13.62
47.236.150.109,2052,2052,false,SIN,Asia Pacific,Singapore,31,13.62
8.219.184.92,2087,2087,true,SIN,Asia Pacific,Singapore,44,13.61
8.219.175.127,443,443,true,SIN,Asia Pacific,Singapore,100,13.61
8.219.152.195,443,443,true,SIN,Asia Pacific,Singapore,144,13.61
8.219.186.22,2082,2082,false,SIN,Asia Pacific,Singapore,12,13.61
8.219.179.34,2095,2095,false,SIN,Asia Pacific,Singapore,27,13.60
8.222.227.191,2083,2083,true,SIN,Asia Pacific,Singapore,69,13.60
8.219.196.24,2087,2087,true,SIN,Asia Pacific,Singapore,200,13.60
47.245.108.213,2082,2082,false,SIN,Asia Pacific,Singapore,20,13.60
8.217.164.10,80,80,false,HKG,Asia Pacific,Hong Kong,34,13.60
47.236.202.221,8080,8080,false,SIN,Asia Pacific,Singapore,12,13.59
8.222.149.233,2053,2053,true,SIN,Asia Pacific,Singapore,107,13.59
47.236.65.11,2083,2083,true,SIN,Asia Pacific,Singapore,114,13.59
8.219.245.232,8080,8080,false,SIN,Asia Pacific,Singapore,15,13.59
8.222.146.222,8880,8880,false,SIN,Asia Pacific,Singapore,29,13.59
8.222.129.32,2082,2082,false,SIN,Asia Pacific,Singapore,4,13.58
47.236.194.67,2095,2095,false,SIN,Asia Pacific,Singapore,9,13.58
47.236.123.218,2096,2096,true,SIN,Asia Pacific,Singapore,34,13.58
8.219.153.136,80,80,false,SIN,Asia Pacific,Singapore,11,13.58
8.219.72.51,2095,2095,false,SIN,Asia Pacific,Singapore,12,13.58
8.222.168.24,2053,2053,true,SIN,Asia Pacific,Singapore,76,13.57
8.219.42.72,2096,2096,true,SIN,Asia Pacific,Singapore,97,13.57
47.245.94.144,80,80,false,SIN,Asia Pacific,Singapore,36,13.57
8.219.90.32,2083,2083,true,SIN,Asia Pacific,Singapore,152,13.57
8.222.153.11,2086,2086,false,NRT,Asia Pacific,Tokyo,98,13.56
8.219.196.24,2052,2052,false,SIN,Asia Pacific,Singapore,16,13.55
8.219.13.143,8880,8880,false,SIN,Asia Pacific,Singapore,20,13.55
8.222.191.158,2095,2095,false,SIN,Asia Pacific,Singapore,7,13.55
8.219.178.101,8443,8443,true,SIN,Asia Pacific,Singapore,167,13.54
8.219.97.179,2096,2096,true,SIN,Asia Pacific,Singapore,148,13.54
8.222.136.247,2096,2096,true,SIN,Asia Pacific,Singapore,82,13.54
47.237.27.71,8443,8443,true,SIN,Asia Pacific,Singapore,82,13.54
8.219.210.64,2087,2087,true,SIN,Asia Pacific,Singapore,182,13.54
8.219.253.185,2086,2086,false,SIN,Asia Pacific,Singapore,17,13.54
8.219.228.157,2053,2053,true,SIN,Asia Pacific,Singapore,109,13.54
8.222.252.150,443,443,true,SIN,Asia Pacific,Singapore,169,13.53
47.236.88.181,2096,2096,true,SIN,Asia Pacific,Singapore,87,13.53
8.219.5.10,2087,2087,true,SIN,Asia Pacific,Singapore,118,13.53
8.219.60.54,80,80,false,SIN,Asia Pacific,Singapore,12,13.53
47.236.125.4,2095,2095,false,SIN,Asia Pacific,Singapore,17,13.53
8.219.201.245,443,443,true,SIN,Asia Pacific,Singapore,123,13.53
8.222.221.109,8880,8880,false,SIN,Asia Pacific,Singapore,14,13.52
8.222.188.56,2096,2096,true,SIN,Asia Pacific,Singapore,91,13.51
47.236.146.249,2083,2083,true,SIN,Asia Pacific,Singapore,125,13.51
47.236.169.236,2086,2086,false,SIN,Asia Pacific,Singapore,6,13.51
8.219.101.72,8443,8443,true,SIN,Asia Pacific,Singapore,132,13.51
8.219.139.13,2086,2086,false,SIN,Asia Pacific,Singapore,12,13.51
47.236.169.236,80,80,false,SIN,Asia Pacific,Singapore,12,13.51
8.219.178.101,2096,2096,true,SIN,Asia Pacific,Singapore,160,13.50
8.219.100.168,2082,2082,false,SIN,Asia Pacific,Singapore,16,13.50
47.236.204.152,8880,8880,false,SIN,Asia Pacific,Singapore,14,13.50
8.219.241.189,2053,2053,true,SIN,Asia Pacific,Singapore,171,13.50
8.222.213.221,2087,2087,true,SIN,Asia Pacific,Singapore,99,13.50
47.237.73.52,8443,8443,true,NRT,Asia Pacific,Tokyo,166,13.50
8.218.243.95,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,13.50
8.222.146.222,2095,2095,false,SIN,Asia Pacific,Singapore,7,13.49
47.236.144.208,2053,2053,true,SIN,Asia Pacific,Singapore,74,13.49
47.236.132.125,2083,2083,true,SIN,Asia Pacific,Singapore,125,13.49
8.219.248.170,8443,8443,true,SIN,Asia Pacific,Singapore,239,13.49
47.236.99.131,8880,8880,false,SIN,Asia Pacific,Singapore,7,13.48
8.219.253.18,2082,2082,false,SIN,Asia Pacific,Singapore,17,13.48
8.219.178.101,80,80,false,SIN,Asia Pacific,Singapore,23,13.47
8.219.242.208,8443,8443,true,SIN,Asia Pacific,Singapore,100,13.47
8.219.213.84,8443,8443,true,SIN,Asia Pacific,Singapore,128,13.47
8.219.230.254,2052,2052,false,SIN,Asia Pacific,Singapore,21,13.47
8.219.195.47,2082,2082,false,SIN,Asia Pacific,Singapore,25,13.47
8.219.145.245,2083,2083,true,SIN,Asia Pacific,Singapore,89,13.47
47.236.168.17,2052,2052,false,SIN,Asia Pacific,Singapore,8,13.47
8.222.244.123,8443,8443,true,SIN,Asia Pacific,Singapore,80,13.47
47.242.234.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,74,13.47
8.219.111.147,8443,8443,true,SIN,Asia Pacific,Singapore,166,13.46
8.222.169.182,2052,2052,false,SIN,Asia Pacific,Singapore,14,13.46
47.236.163.95,2095,2095,false,SIN,Asia Pacific,Singapore,7,13.46
8.218.142.253,2096,2096,true,HKG,Asia Pacific,Hong Kong,90,13.45
8.222.210.182,443,443,true,SIN,Asia Pacific,Singapore,103,13.45
47.236.104.98,8443,8443,true,SIN,Asia Pacific,Singapore,76,13.45
8.219.1.92,8080,8080,false,SIN,Asia Pacific,Singapore,4,13.45
47.236.149.107,2052,2052,false,SIN,Asia Pacific,Singapore,16,13.45
8.219.228.186,443,443,true,SIN,Asia Pacific,Singapore,148,13.45
8.219.167.65,8443,8443,true,SIN,Asia Pacific,Singapore,67,13.44
8.222.193.208,2083,2083,true,SIN,Asia Pacific,Singapore,74,13.44
8.219.3.53,8443,8443,true,SIN,Asia Pacific,Singapore,129,13.44
47.236.31.73,2053,2053,true,SIN,Asia Pacific,Singapore,126,13.44
8.219.159.232,443,443,true,SIN,Asia Pacific,Singapore,178,13.43
8.219.228.30,8443,8443,true,SIN,Asia Pacific,Singapore,176,13.43
8.222.160.176,2052,2052,false,SIN,Asia Pacific,Singapore,7,13.42
8.219.241.189,2082,2082,false,SIN,Asia Pacific,Singapore,25,13.42
8.222.160.61,2096,2096,true,SIN,Asia Pacific,Singapore,106,13.42
47.236.119.253,2083,2083,true,SIN,Asia Pacific,Singapore,155,13.41
8.219.197.111,2096,2096,true,SIN,Asia Pacific,Singapore,90,13.41
8.219.235.164,2082,2082,false,SIN,Asia Pacific,Singapore,78,13.41
8.222.210.182,443,443,true,SIN,Asia Pacific,Singapore,76,13.41
8.219.99.49,443,443,true,SIN,Asia Pacific,Singapore,138,13.41
8.222.136.196,2096,2096,true,SIN,Asia Pacific,Singapore,84,13.41
8.219.198.139,80,80,false,SIN,Asia Pacific,Singapore,42,13.40
8.219.40.37,80,80,false,SIN,Asia Pacific,Singapore,8,13.40
8.219.206.53,2096,2096,true,SIN,Asia Pacific,Singapore,141,13.40
8.219.151.193,443,443,true,NRT,Asia Pacific,Tokyo,116,13.40
8.218.146.204,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,13.40
8.222.240.47,2053,2053,true,SIN,Asia Pacific,Singapore,90,13.39
47.236.227.21,2086,2086,false,SIN,Asia Pacific,Singapore,29,13.39
8.219.218.21,2083,2083,true,SIN,Asia Pacific,Singapore,131,13.39
8.219.206.53,2052,2052,false,SIN,Asia Pacific,Singapore,10,13.39
47.237.73.52,2083,2083,true,NRT,Asia Pacific,Tokyo,191,13.38
8.218.204.128,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,13.38
8.218.207.169,80,80,false,HKG,Asia Pacific,Hong Kong,38,13.38
47.236.150.109,2082,2082,false,SIN,Asia Pacific,Singapore,25,13.38
8.222.128.131,2096,2096,true,SIN,Asia Pacific,Singapore,111,13.38
8.210.151.69,2096,2096,true,HKG,Asia Pacific,Hong Kong,93,13.37
8.222.182.10,8080,8080,false,SIN,Asia Pacific,Singapore,15,13.37
47.236.187.144,8080,8080,false,SIN,Asia Pacific,Singapore,4,13.37
8.219.170.223,2086,2086,false,SIN,Asia Pacific,Singapore,9,13.37
8.222.134.170,2083,2083,true,SIN,Asia Pacific,Singapore,65,13.36
8.219.13.143,2082,2082,false,SIN,Asia Pacific,Singapore,24,13.36
8.219.43.243,80,80,false,SIN,Asia Pacific,Singapore,11,13.36
8.222.136.247,8880,8880,false,SIN,Asia Pacific,Singapore,5,13.36
8.219.196.24,2096,2096,true,SIN,Asia Pacific,Singapore,131,13.35
8.222.214.13,2086,2086,false,SIN,Asia Pacific,Singapore,4,13.35
8.219.186.189,443,443,true,SIN,Asia Pacific,Singapore,188,13.35
8.219.153.44,2087,2087,true,SIN,Asia Pacific,Singapore,194,13.34
47.236.204.152,2096,2096,true,SIN,Asia Pacific,Singapore,174,13.34
8.222.128.131,2053,2053,true,SIN,Asia Pacific,Singapore,73,13.34
47.236.145.85,2087,2087,true,SIN,Asia Pacific,Singapore,73,13.34
8.219.121.87,8443,8443,true,SIN,Asia Pacific,Singapore,171,13.34
47.236.166.184,8880,8880,false,SIN,Asia Pacific,Singapore,9,13.34
8.219.151.193,2087,2087,true,SIN,Asia Pacific,Singapore,411,13.34
47.236.172.71,8880,8880,false,SIN,Asia Pacific,Singapore,11,13.34
8.219.210.226,2082,2082,false,SIN,Asia Pacific,Singapore,24,13.33
8.219.51.49,8443,8443,true,SIN,Asia Pacific,Singapore,99,13.33
8.222.136.196,2087,2087,true,SIN,Asia Pacific,Singapore,138,13.33
8.222.209.223,8443,8443,true,SIN,Asia Pacific,Singapore,108,13.32
8.219.215.214,2087,2087,true,SIN,Asia Pacific,Singapore,377,13.32
8.219.161.129,2096,2096,true,SIN,Asia Pacific,Singapore,97,13.32
47.236.204.152,2052,2052,false,SIN,Asia Pacific,Singapore,12,13.32
8.210.174.156,2053,2053,true,HKG,Asia Pacific,Hong Kong,187,13.31
8.219.196.24,8443,8443,true,SIN,Asia Pacific,Singapore,138,13.30
8.218.181.189,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,13.30
8.222.160.61,2087,2087,true,SIN,Asia Pacific,Singapore,132,13.30
47.236.244.37,2095,2095,false,SIN,Asia Pacific,Singapore,12,13.30
8.222.175.78,2095,2095,false,SIN,Asia Pacific,Singapore,9,13.30
8.219.233.6,2096,2096,true,SIN,Asia Pacific,Singapore,212,13.29
47.236.180.51,2096,2096,true,SIN,Asia Pacific,Singapore,109,13.29
8.219.141.174,80,80,false,SIN,Asia Pacific,Singapore,14,13.29
8.219.145.245,8443,8443,true,SIN,Asia Pacific,Singapore,186,13.28
8.219.208.69,2096,2096,true,SIN,Asia Pacific,Singapore,153,13.28
8.222.168.234,2086,2086,false,SIN,Asia Pacific,Singapore,4,13.28
8.222.131.102,80,80,false,SIN,Asia Pacific,Singapore,6,13.28
8.222.210.182,2087,2087,true,SIN,Asia Pacific,Singapore,101,13.28
8.222.169.182,2083,2083,true,SIN,Asia Pacific,Singapore,57,13.28
8.219.197.111,2087,2087,true,SIN,Asia Pacific,Singapore,162,13.28
8.219.238.145,2096,2096,true,SIN,Asia Pacific,Singapore,51,13.28
8.222.172.23,2096,2096,true,SIN,Asia Pacific,Singapore,136,13.27
47.236.198.189,2083,2083,true,SIN,Asia Pacific,Singapore,111,13.27
8.219.147.58,2087,2087,true,SIN,Asia Pacific,Singapore,309,13.27
8.222.170.152,2096,2096,true,NRT,Asia Pacific,Tokyo,161,13.26
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,51,13.26
47.236.161.110,80,80,false,SIN,Asia Pacific,Singapore,11,13.26
8.222.168.234,2095,2095,false,SIN,Asia Pacific,Singapore,12,13.26
47.236.88.134,2087,2087,true,SIN,Asia Pacific,Singapore,132,13.26
8.219.90.196,8443,8443,true,SIN,Asia Pacific,Singapore,171,13.25
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,348,13.24
8.219.196.24,2083,2083,true,SIN,Asia Pacific,Singapore,150,13.24
8.219.142.229,2082,2082,false,SIN,Asia Pacific,Singapore,15,13.24
8.222.211.124,2095,2095,false,SIN,Asia Pacific,Singapore,39,13.24
8.219.201.8,80,80,false,SIN,Asia Pacific,Singapore,22,13.24
8.219.238.145,8080,8080,false,SIN,Asia Pacific,Singapore,12,13.24
8.219.245.232,2082,2082,false,SIN,Asia Pacific,Singapore,36,13.23
8.219.222.8,2096,2096,true,SIN,Asia Pacific,Singapore,59,13.23
8.219.206.180,2086,2086,false,SIN,Asia Pacific,Singapore,26,13.23
8.222.238.141,8080,8080,false,SIN,Asia Pacific,Singapore,5,13.23
8.222.193.208,8880,8880,false,SIN,Asia Pacific,Singapore,3,13.22
8.222.222.64,2052,2052,false,SIN,Asia Pacific,Singapore,11,13.22
47.237.22.45,2052,2052,false,SIN,Asia Pacific,Singapore,11,13.22
8.219.167.113,2096,2096,true,SIN,Asia Pacific,Singapore,9,13.22
47.236.204.110,2082,2082,false,SIN,Asia Pacific,Singapore,21,13.22
47.236.94.109,2053,2053,true,SIN,Asia Pacific,Singapore,111,13.22
8.222.134.170,80,80,false,SIN,Asia Pacific,Singapore,11,13.22
8.222.204.110,80,80,false,SIN,Asia Pacific,Singapore,62,13.22
8.219.200.145,8880,8880,false,SIN,Asia Pacific,Singapore,102,13.22
8.222.162.45,2082,2082,false,SIN,Asia Pacific,Singapore,119,13.21
47.237.5.164,2082,2082,false,SIN,Asia Pacific,Singapore,10,13.21
8.222.149.233,2083,2083,true,SIN,Asia Pacific,Singapore,83,13.21
47.236.172.95,2083,2083,true,SIN,Asia Pacific,Singapore,82,13.20
8.219.55.31,2052,2052,false,NRT,Asia Pacific,Tokyo,98,13.20
8.219.11.158,2096,2096,true,SIN,Asia Pacific,Singapore,125,13.20
47.236.179.182,2082,2082,false,SIN,Asia Pacific,Singapore,10,13.20
8.219.213.84,2096,2096,true,SIN,Asia Pacific,Singapore,43,13.20
47.236.180.51,8443,8443,true,SIN,Asia Pacific,Singapore,105,13.20
8.222.226.15,2083,2083,true,SIN,Asia Pacific,Singapore,157,13.20
8.219.77.91,2083,2083,true,SIN,Asia Pacific,Singapore,179,13.19
8.219.152.195,2087,2087,true,SIN,Asia Pacific,Singapore,147,13.19
47.236.39.34,2083,2083,true,SIN,Asia Pacific,Singapore,31,13.19
8.222.197.251,2082,2082,false,SIN,Asia Pacific,Singapore,13,13.19
8.219.12.152,443,443,true,SIN,Asia Pacific,Singapore,115,13.19
8.219.103.126,2083,2083,true,SIN,Asia Pacific,Singapore,99,13.19
47.236.176.144,2082,2082,false,SIN,Asia Pacific,Singapore,3,13.18
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,33,13.18
8.219.140.63,2052,2052,false,SIN,Asia Pacific,Singapore,4,13.18
8.219.250.239,443,443,true,SIN,Asia Pacific,Singapore,133,13.17
47.243.107.148,443,443,true,HKG,Asia Pacific,Hong Kong,80,13.17
8.222.174.108,2086,2086,false,SIN,Asia Pacific,Singapore,4,13.17
8.219.55.31,2087,2087,true,NRT,Asia Pacific,Tokyo,171,13.16
8.222.129.32,2052,2052,false,SIN,Asia Pacific,Singapore,6,13.16
47.245.94.144,2083,2083,true,SIN,Asia Pacific,Singapore,156,13.16
47.245.118.197,2053,2053,true,SIN,Asia Pacific,Singapore,124,13.16
8.222.168.155,8443,8443,true,SIN,Asia Pacific,Singapore,64,13.16
8.218.65.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,53,13.15
8.222.255.15,2096,2096,true,SIN,Asia Pacific,Singapore,96,13.15
47.236.125.4,2082,2082,false,SIN,Asia Pacific,Singapore,21,13.15
8.222.184.198,2052,2052,false,SIN,Asia Pacific,Singapore,10,13.15
47.236.166.184,2087,2087,true,SIN,Asia Pacific,Singapore,95,13.14
8.219.193.202,2052,2052,false,SIN,Asia Pacific,Singapore,55,13.14
8.222.236.229,2083,2083,true,SIN,Asia Pacific,Singapore,102,13.14
8.218.122.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,102,13.14
8.222.141.240,2095,2095,false,SIN,Asia Pacific,Singapore,7,13.13
8.219.253.114,2083,2083,true,SIN,Asia Pacific,Singapore,51,13.13
8.219.206.53,2083,2083,true,SIN,Asia Pacific,Singapore,204,13.13
8.222.154.50,8880,8880,false,SIN,Asia Pacific,Singapore,14,13.13
8.222.130.156,2082,2082,false,SIN,Asia Pacific,Singapore,8,13.13
8.222.146.222,2096,2096,true,SIN,Asia Pacific,Singapore,88,13.13
8.222.140.87,8880,8880,false,SIN,Asia Pacific,Singapore,23,13.12
8.222.167.8,80,80,false,SIN,Asia Pacific,Singapore,7,13.12
8.219.230.254,8880,8880,false,SIN,Asia Pacific,Singapore,18,13.12
8.219.247.53,2083,2083,true,SIN,Asia Pacific,Singapore,71,13.11
8.219.153.237,2052,2052,false,NRT,Asia Pacific,Tokyo,75,13.11
8.222.210.182,2086,2086,false,SIN,Asia Pacific,Singapore,3,13.11
8.219.129.38,2096,2096,true,SIN,Asia Pacific,Singapore,128,13.11
8.219.201.8,2052,2052,false,SIN,Asia Pacific,Singapore,22,13.11
47.236.175.189,8080,8080,false,SIN,Asia Pacific,Singapore,39,13.10
8.222.224.163,2095,2095,false,SIN,Asia Pacific,Singapore,5,13.10
47.236.39.34,2053,2053,true,SIN,Asia Pacific,Singapore,87,13.10
8.222.214.231,2096,2096,true,SIN,Asia Pacific,Singapore,50,13.10
8.219.255.171,2082,2082,false,SIN,Asia Pacific,Singapore,19,13.09
8.219.97.179,2087,2087,true,SIN,Asia Pacific,Singapore,419,13.09
8.222.193.65,2082,2082,false,SIN,Asia Pacific,Singapore,7,13.09
8.219.204.120,2053,2053,true,SIN,Asia Pacific,Singapore,134,13.08
8.222.237.131,8080,8080,false,SIN,Asia Pacific,Singapore,10,13.08
47.236.206.153,2053,2053,true,SIN,Asia Pacific,Singapore,151,13.07
