IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,252,4.57
34.118.107.171,443,443,true,FRA,Europe,Frankfurt,277,4.57
34.65.95.192,443,443,true,FRA,Europe,Frankfurt,254,4.57
34.118.44.17,443,443,true,FRA,Europe,Frankfurt,305,4.57
34.116.153.22,443,443,true,FRA,Europe,Frankfurt,268,4.57
34.91.85.157,443,443,true,FRA,Europe,Frankfurt,258,4.56
34.91.136.68,443,443,true,FRA,Europe,Frankfurt,264,4.56
34.91.85.157,443,443,true,FRA,Europe,Frankfurt,259,4.56
34.159.39.234,443,443,true,FRA,Europe,Frankfurt,257,4.56
34.90.131.205,443,443,true,FRA,Europe,Frankfurt,258,4.56
34.90.147.211,443,443,true,FRA,Europe,Frankfurt,264,4.56
34.116.159.183,443,443,true,FRA,Europe,Frankfurt,330,4.56
34.154.127.14,443,443,true,FRA,Europe,Frankfurt,253,4.54
34.65.2.140,443,443,true,FRA,Europe,Frankfurt,253,4.53
34.65.189.218,443,443,true,FRA,Europe,Frankfurt,251,4.53
34.65.151.92,443,443,true,FRA,Europe,Frankfurt,254,4.53
35.198.161.26,443,443,true,FRA,Europe,Frankfurt,251,4.53
34.34.24.99,443,443,true,FRA,Europe,Frankfurt,261,4.53
34.118.85.231,443,443,true,FRA,Europe,Frankfurt,277,4.52
34.91.136.68,443,443,true,FRA,Europe,Frankfurt,257,4.52
34.91.136.68,443,443,true,FRA,Europe,Frankfurt,259,4.52
34.90.147.211,443,443,true,FRA,Europe,Frankfurt,259,4.51
34.154.133.197,443,443,true,FRA,Europe,Frankfurt,253,4.51
34.89.239.146,443,443,true,FRA,Europe,Frankfurt,265,4.51
34.118.75.210,443,443,true,FRA,Europe,Frankfurt,267,4.51
34.154.154.180,443,443,true,FRA,Europe,Frankfurt,251,4.50
34.91.48.184,443,443,true,FRA,Europe,Frankfurt,269,4.50
34.65.151.92,443,443,true,FRA,Europe,Frankfurt,257,4.50
34.118.105.75,443,443,true,FRA,Europe,Frankfurt,278,4.50
34.91.242.177,443,443,true,FRA,Europe,Frankfurt,258,4.49
34.116.153.22,443,443,true,FRA,Europe,Frankfurt,325,4.49
34.65.5.127,443,443,true,FRA,Europe,Frankfurt,254,4.49
34.116.182.5,443,443,true,FRA,Europe,Frankfurt,268,4.49
34.65.168.242,443,443,true,FRA,Europe,Frankfurt,283,4.49
34.65.170.148,443,443,true,FRA,Europe,Frankfurt,250,4.48
34.65.68.162,443,443,true,FRA,Europe,Frankfurt,254,4.48
34.65.174.22,443,443,true,FRA,Europe,Frankfurt,252,4.48
34.89.241.113,443,443,true,FRA,Europe,Frankfurt,252,4.48
34.65.161.35,443,443,true,FRA,Europe,Frankfurt,403,4.48
34.34.24.99,443,443,true,FRA,Europe,Frankfurt,259,4.47
35.204.119.111,443,443,true,FRA,Europe,Frankfurt,264,4.47
34.116.157.246,443,443,true,FRA,Europe,Frankfurt,328,4.47
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,255,4.46
34.154.37.0,443,443,true,FRA,Europe,Frankfurt,258,4.45
35.204.85.255,443,443,true,FRA,Europe,Frankfurt,260,4.45
34.65.167.153,443,443,true,FRA,Europe,Frankfurt,251,4.44
34.107.94.79,443,443,true,FRA,Europe,Frankfurt,321,4.44
35.204.39.56,443,443,true,FRA,Europe,Frankfurt,259,4.44
34.91.167.241,443,443,true,FRA,Europe,Frankfurt,272,4.44
34.89.234.44,443,443,true,FRA,Europe,Frankfurt,250,4.43
34.116.182.5,443,443,true,FRA,Europe,Frankfurt,341,4.43
34.90.231.188,443,443,true,FRA,Europe,Frankfurt,266,4.43
34.90.124.144,443,443,true,FRA,Europe,Frankfurt,266,4.43
34.154.122.114,443,443,true,FRA,Europe,Frankfurt,253,4.43
34.89.153.165,443,443,true,FRA,Europe,Frankfurt,264,4.42
34.91.85.157,443,443,true,FRA,Europe,Frankfurt,259,4.42
34.116.159.183,443,443,true,FRA,Europe,Frankfurt,268,4.42
35.234.71.151,443,443,true,FRA,Europe,Frankfurt,251,4.42
34.116.186.105,443,443,true,FRA,Europe,Frankfurt,338,4.42
34.65.91.34,443,443,true,FRA,Europe,Frankfurt,258,4.42
34.90.78.95,443,443,true,FRA,Europe,Frankfurt,258,4.41
34.116.203.117,443,443,true,FRA,Europe,Frankfurt,327,4.41
34.90.78.95,443,443,true,FRA,Europe,Frankfurt,303,4.41
34.116.241.129,443,443,true,FRA,Europe,Frankfurt,285,4.40
34.34.59.166,443,443,true,FRA,Europe,Frankfurt,257,4.40
34.65.125.44,443,443,true,FRA,Europe,Frankfurt,260,4.40
34.116.157.246,443,443,true,FRA,Europe,Frankfurt,269,4.40
34.154.209.183,443,443,true,FRA,Europe,Frankfurt,252,4.39
34.118.121.61,443,443,true,FRA,Europe,Frankfurt,278,4.39
34.32.242.118,443,443,true,FRA,Europe,Frankfurt,258,4.38
34.65.157.194,443,443,true,FRA,Europe,Frankfurt,252,4.38
34.116.236.156,443,443,true,FRA,Europe,Frankfurt,321,4.38
35.246.228.118,443,443,true,FRA,Europe,Frankfurt,289,4.37
34.32.147.248,443,443,true,FRA,Europe,Frankfurt,257,4.36
34.154.189.245,443,443,true,FRA,Europe,Frankfurt,257,4.36
34.91.6.52,443,443,true,FRA,Europe,Frankfurt,259,4.36
34.154.143.101,443,443,true,FRA,Europe,Frankfurt,261,4.35
34.147.75.241,443,443,true,FRA,Europe,Frankfurt,258,4.34
34.65.169.173,443,443,true,FRA,Europe,Frankfurt,252,4.34
34.65.97.157,443,443,true,FRA,Europe,Frankfurt,253,4.33
34.118.58.9,443,443,true,FRA,Europe,Frankfurt,312,4.33
34.154.150.141,443,443,true,FRA,Europe,Frankfurt,262,4.33
34.116.128.178,443,443,true,FRA,Europe,Frankfurt,327,4.32
34.65.104.227,443,443,true,FRA,Europe,Frankfurt,252,4.31
34.154.93.171,443,443,true,FRA,Europe,Frankfurt,251,4.30
34.118.17.193,443,443,true,FRA,Europe,Frankfurt,340,4.30
34.91.6.32,443,443,true,FRA,Europe,Frankfurt,258,4.28
34.116.200.248,443,443,true,FRA,Europe,Frankfurt,270,4.28
34.65.137.19,443,443,true,FRA,Europe,Frankfurt,251,4.28
34.91.6.32,443,443,true,FRA,Europe,Frankfurt,260,4.27
34.65.78.31,443,443,true,FRA,Europe,Frankfurt,251,4.26
34.116.167.198,443,443,true,FRA,Europe,Frankfurt,271,4.26
34.91.226.111,443,443,true,FRA,Europe,Frankfurt,258,4.26
34.118.29.115,443,443,true,FRA,Europe,Frankfurt,317,4.25
34.90.78.95,443,443,true,FRA,Europe,Frankfurt,260,4.25
34.91.6.52,443,443,true,FRA,Europe,Frankfurt,260,4.24
34.116.203.117,443,443,true,FRA,Europe,Frankfurt,270,4.24
34.116.157.45,443,443,true,FRA,Europe,Frankfurt,275,4.24
34.32.188.148,443,443,true,FRA,Europe,Frankfurt,259,4.23
34.90.101.178,443,443,true,FRA,Europe,Frankfurt,266,4.23
34.116.157.45,443,443,true,FRA,Europe,Frankfurt,328,4.23
34.118.3.47,443,443,true,FRA,Europe,Frankfurt,317,4.23
34.105.140.105,443,443,true,LHR,Europe,London,188,4.22
34.116.178.157,443,443,true,FRA,Europe,Frankfurt,310,4.22
34.65.154.70,443,443,true,FRA,Europe,Frankfurt,253,4.22
34.116.142.32,443,443,true,FRA,Europe,Frankfurt,313,4.21
34.65.6.206,443,443,true,FRA,Europe,Frankfurt,274,4.21
34.154.188.239,443,443,true,FRA,Europe,Frankfurt,260,4.21
34.89.234.44,443,443,true,FRA,Europe,Frankfurt,253,4.19
34.118.30.13,443,443,true,FRA,Europe,Frankfurt,328,4.17
34.116.203.29,443,443,true,FRA,Europe,Frankfurt,268,4.17
34.90.21.238,443,443,true,FRA,Europe,Frankfurt,264,4.16
35.204.227.85,443,443,true,FRA,Europe,Frankfurt,257,4.16
34.147.114.42,443,443,true,FRA,Europe,Frankfurt,261,4.15
34.147.231.33,443,443,true,LHR,Europe,London,193,4.15
34.154.209.179,443,443,true,FRA,Europe,Frankfurt,257,4.15
34.105.140.105,443,443,true,LHR,Europe,London,192,4.14
34.65.89.88,443,443,true,FRA,Europe,Frankfurt,252,4.14
34.118.41.105,443,443,true,FRA,Europe,Frankfurt,366,4.13
34.141.46.87,443,443,true,FRA,Europe,Frankfurt,266,4.11
34.65.25.114,443,443,true,FRA,Europe,Frankfurt,292,4.10
34.116.241.33,443,443,true,FRA,Europe,Frankfurt,320,4.10
34.65.169.173,443,443,true,FRA,Europe,Frankfurt,258,4.10
34.90.147.211,443,443,true,FRA,Europe,Frankfurt,256,4.10
34.105.189.25,443,443,true,LHR,Europe,London,223,4.10
34.65.153.178,443,443,true,FRA,Europe,Frankfurt,251,4.10
34.118.38.73,443,443,true,FRA,Europe,Frankfurt,333,4.08
34.118.30.93,443,443,true,FRA,Europe,Frankfurt,335,4.08
34.116.147.20,443,443,true,FRA,Europe,Frankfurt,315,4.07
34.118.1.28,443,443,true,FRA,Europe,Frankfurt,335,4.05
34.107.91.0,443,443,true,FRA,Europe,Frankfurt,263,4.05
34.107.64.17,443,443,true,FRA,Europe,Frankfurt,333,4.04
34.159.190.252,443,443,true,FRA,Europe,Frankfurt,263,4.03
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,255,4.03
34.116.165.236,443,443,true,FRA,Europe,Frankfurt,322,4.03
34.116.191.48,443,443,true,FRA,Europe,Frankfurt,316,4.03
34.34.1.13,443,443,true,FRA,Europe,Frankfurt,257,3.99
34.90.21.238,443,443,true,FRA,Europe,Frankfurt,285,3.98
34.107.91.0,443,443,true,FRA,Europe,Frankfurt,323,3.98
34.116.219.249,443,443,true,FRA,Europe,Frankfurt,335,3.98
34.65.168.242,443,443,true,FRA,Europe,Frankfurt,251,3.97
34.118.65.137,443,443,true,FRA,Europe,Frankfurt,335,3.97
34.118.76.197,443,443,true,FRA,Europe,Frankfurt,271,3.97
34.154.13.211,443,443,true,FRA,Europe,Frankfurt,260,3.96
34.116.255.222,443,443,true,FRA,Europe,Frankfurt,346,3.95
34.91.167.241,443,443,true,FRA,Europe,Frankfurt,260,3.94
34.118.71.7,443,443,true,FRA,Europe,Frankfurt,272,3.92
34.65.169.173,443,443,true,FRA,Europe,Frankfurt,254,3.92
34.34.50.184,443,443,true,FRA,Europe,Frankfurt,265,3.92
34.118.7.157,443,443,true,FRA,Europe,Frankfurt,317,3.90
34.116.195.106,443,443,true,FRA,Europe,Frankfurt,274,3.90
34.65.150.201,443,443,true,FRA,Europe,Frankfurt,251,3.89
34.116.165.236,443,443,true,FRA,Europe,Frankfurt,269,3.88
