IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.36.253.240,2086,80,false,CDG,Europe,Paris,248,2.06
13.36.253.240,2096,80,false,CDG,Europe,Paris,248,2.05
13.36.24.111,2052,80,false,CDG,Europe,Paris,253,2.05
13.36.63.124,2052,80,false,CDG,Europe,Paris,248,2.05
13.36.162.145,2095,80,false,CDG,Europe,Paris,247,2.04
13.36.162.145,2083,80,false,CDG,Europe,Paris,253,2.04
13.36.162.145,2082,80,false,CDG,Europe,Paris,283,2.03
13.36.24.111,2086,80,false,CDG,Europe,Paris,253,2.03
13.36.162.145,2053,80,false,CDG,Europe,Paris,247,2.03
13.36.63.124,2083,80,false,CDG,Europe,Paris,253,2.03
13.36.63.124,2096,80,false,CDG,Europe,Paris,253,2.03
13.36.63.124,2095,80,false,CDG,Europe,Paris,253,2.02
13.36.162.145,2052,80,false,CDG,Europe,Paris,424,2.02
13.36.63.124,2082,80,false,CDG,Europe,Paris,253,2.01
13.36.162.145,2096,80,false,CDG,Europe,Paris,248,2.00
13.36.162.145,2087,80,false,CDG,Europe,Paris,247,1.99
15.160.15.101,2082,80,false,MXP,Europe,Milan,265,1.95
15.160.19.149,2052,80,false,MXP,Europe,Milan,272,1.95
15.160.14.66,2082,80,false,MXP,Europe,Milan,270,1.95
15.160.15.255,2053,80,false,MXP,Europe,Milan,270,1.95
15.160.80.28,2052,80,false,MXP,Europe,Milan,272,1.95
15.160.19.149,2095,80,false,MXP,Europe,Milan,266,1.95
15.160.15.255,2082,80,false,MXP,Europe,Milan,266,1.94
15.160.15.101,2096,80,false,MXP,Europe,Milan,270,1.94
15.160.80.28,2053,80,false,MXP,Europe,Milan,271,1.94
15.160.80.28,2087,80,false,MXP,Europe,Milan,264,1.94
15.160.19.149,2086,80,false,MXP,Europe,Milan,265,1.94
15.160.14.66,2052,80,false,MXP,Europe,Milan,266,1.94
15.160.80.28,2083,80,false,MXP,Europe,Milan,266,1.94
15.160.15.255,2095,80,false,MXP,Europe,Milan,271,1.94
15.160.80.28,2096,80,false,MXP,Europe,Milan,265,1.93
15.160.14.66,2083,80,false,MXP,Europe,Milan,270,1.93
15.160.15.255,2096,80,false,MXP,Europe,Milan,264,1.93
15.160.14.66,2053,80,false,MXP,Europe,Milan,271,1.93
15.160.19.149,2087,80,false,MXP,Europe,Milan,271,1.93
15.160.14.66,2087,80,false,MXP,Europe,Milan,271,1.93
15.160.80.28,2095,80,false,MXP,Europe,Milan,272,1.93
15.160.15.101,2083,80,false,MXP,Europe,Milan,265,1.93
15.160.15.101,2087,80,false,MXP,Europe,Milan,271,1.93
15.160.15.101,2052,80,false,MXP,Europe,Milan,268,1.92
