IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.245.102.52,2087,true,SIN,Asia Pacific,Singapore,242 ms,6168 kB/s
8.219.191.40,2096,true,SIN,Asia Pacific,Singapore,234 ms,6133 kB/s
47.242.232.14,8443,true,HKG,Asia Pacific,Hong Kong,83 ms,6127 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,269 ms,6126 kB/s
8.219.113.232,8443,true,SIN,Asia Pacific,Singapore,245 ms,6122 kB/s
8.210.3.24,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,6067 kB/s
8.210.119.11,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,6062 kB/s
8.217.164.10,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,6018 kB/s
47.245.114.163,2087,true,SIN,Asia Pacific,Singapore,230 ms,6003 kB/s
8.217.248.220,2096,true,HKG,Asia Pacific,Hong Kong,67 ms,5977 kB/s
47.243.139.85,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,5915 kB/s
47.242.59.216,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,5909 kB/s
47.76.49.246,2083,true,HKG,Asia Pacific,Hong Kong,70 ms,5903 kB/s
8.222.167.147,2083,true,SIN,Asia Pacific,Singapore,259 ms,5871 kB/s
47.243.203.119,2083,true,HKG,Asia Pacific,Hong Kong,56 ms,5852 kB/s
47.236.17.193,8443,true,SIN,Asia Pacific,Singapore,244 ms,5848 kB/s
47.76.146.1,2083,true,HKG,Asia Pacific,Hong Kong,83 ms,5823 kB/s
47.245.102.52,2083,true,SIN,Asia Pacific,Singapore,252 ms,5818 kB/s
8.217.121.207,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,5817 kB/s
47.245.105.224,2053,true,SIN,Asia Pacific,Singapore,247 ms,5773 kB/s
8.219.114.201,2053,true,SIN,Asia Pacific,Singapore,233 ms,5771 kB/s
8.217.147.230,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,5752 kB/s
8.219.114.201,443,true,SIN,Asia Pacific,Singapore,225 ms,5716 kB/s
47.76.49.246,8443,true,HKG,Asia Pacific,Hong Kong,66 ms,5686 kB/s
47.242.174.27,2083,true,HKG,Asia Pacific,Hong Kong,55 ms,5630 kB/s
47.245.114.163,2083,true,SIN,Asia Pacific,Singapore,251 ms,5609 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,238 ms,5605 kB/s
8.219.110.81,2096,true,SIN,Asia Pacific,Singapore,219 ms,5596 kB/s
47.242.155.183,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,5543 kB/s
47.237.92.26,8443,true,SIN,Asia Pacific,Singapore,232 ms,5531 kB/s
8.219.117.198,2096,true,SIN,Asia Pacific,Singapore,221 ms,5520 kB/s
47.245.105.224,2087,true,SIN,Asia Pacific,Singapore,252 ms,5512 kB/s
47.237.82.15,8443,true,SIN,Asia Pacific,Singapore,247 ms,5495 kB/s
47.243.206.150,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,5409 kB/s
8.219.111.175,2083,true,SIN,Asia Pacific,Singapore,231 ms,5398 kB/s
47.242.202.230,2096,true,HKG,Asia Pacific,Hong Kong,69 ms,5386 kB/s
47.237.84.173,2096,true,SIN,Asia Pacific,Singapore,224 ms,5356 kB/s
47.243.107.148,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,5355 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,225 ms,5307 kB/s
